1,2,3,4,5,6
04/01/2021,92.11,96.06,90.92,92.3,51802600
05/01/2021,92.1,93.21,91.41,92.77,34208000
06/01/2021,91.62,92.28,89.46,90.33,51911700
07/01/2021,91.33,95.51,91.2,95.16,42897200
08/01/2021,95.98,96.4,93.27,94.58,39816400
11/01/2021,94.03,99.23,93.76,97.25,48600200
12/01/2021,97.86,98.97,94.07,95.36,67672300
13/01/2021,93.01,93.89,90.84,91.78,60712900
14/01/2021,91.77,92.36,90.45,90.79,53408200
15/01/2021,90.75,91.59,87.86,88.21,49340300
19/01/2021,89.56,89.58,87.24,89.45,45115100
20/01/2021,90.55,90.78,88.6,88.75,35185800
21/01/2021,89.34,92.07,88.43,91.53,54221900
22/01/2021,94.42,95.95,91.88,92.79,71294700
25/01/2021,94.14,95.74,91.4,94.13,55086900
26/01/2021,94.91,95.72,93.63,94.71,59449100
27/01/2021,91.1,91.88,86.22,88.84,73341200
28/01/2021,89.83,89.88,87.3,87.52,47048400
29/01/2021,87.56,88.33,85.02,85.64,56735800
01/02/2021,86.83,87.95,84.66,87.66,42359300
02/02/2021,88.49,89.28,86.95,88.86,33850000
03/02/2021,88.6,89.48,87.34,87.89,32312900
04/02/2021,88.22,88.6,87.06,87.84,30791600
05/02/2021,88.15,88.36,86.88,87.9,30268700
08/02/2021,88.31,91.99,87.98,91.47,47639900
09/02/2021,91.39,93.3,90.55,90.91,37596400
10/02/2021,91.5,93.27,90.46,92.35,42441300
11/02/2021,92.9,93.65,91.33,92.66,35571000
12/02/2021,92.75,94.22,91.9,93.77,38538400
16/02/2021,93.9,94,90.75,91.46,35105900
17/02/2021,90.56,90.96,88.57,89.94,32245500
18/02/2021,89.09,89.6,87.31,88.64,35624900
19/02/2021,89.75,90.42,88.69,89.58,29548300
22/02/2021,88.15,88.3,85.21,85.37,36930200
23/02/2021,83.4,85.11,79.36,84.74,49720900
24/02/2021,84.33,87.09,82.81,86.94,40821200
25/02/2021,86.17,87.09,81.92,82.42,54625100
26/02/2021,83.57,85.59,82.91,84.51,48962900
01/03/2021,85.37,86.5,83.97,86.39,32746200
02/03/2021,86.92,86.95,84.04,84.13,34828200
03/03/2021,84.28,84.38,80.85,80.86,43541000
04/03/2021,80.23,81.81,76.78,77.75,60549400
05/03/2021,79,79.48,74.2,78.52,58548900
08/03/2021,78.03,79,73.86,73.96,54563900
09/03/2021,76.73,79.22,75.77,78.53,45088300
10/03/2021,79.75,80.04,77.41,77.52,45416600
11/03/2021,79.4,81.89,79.37,81.23,43583700
12/03/2021,79.73,81.19,79.23,81.05,32938000
15/03/2021,81.91,83.39,81.2,82.5,39086800
16/03/2021,83.66,84.75,82.26,82.75,42971600
17/03/2021,81.75,83.25,80.41,82.63,43320600
18/03/2021,81.06,81.62,78.01,78.12,51036500
19/03/2021,78.49,79.34,77.59,79.06,42283400
22/03/2021,79.99,81.27,79.22,80.3,39648600
23/03/2021,80.13,80.34,77.95,78.38,40466600
24/03/2021,77.55,78.8,76.4,76.48,43753600
25/03/2021,75.85,76.95,74.96,76.22,44735100
26/03/2021,76.62,77.5,75.03,77.41,49148700
29/03/2021,77.03,78.02,76.26,77.14,37144300
30/03/2021,76.47,76.56,74.85,76,39169300
31/03/2021,76.57,79.13,76.52,78.5,43659500
01/04/2021,80.16,81.31,79.48,81.09,40182400
05/04/2021,81.74,81.9,80.39,81.43,32610600
06/04/2021,81.21,82.46,80.88,81.44,29327900
07/04/2021,81.32,83.1,80.35,82.2,35590900
08/04/2021,83.32,83.79,82.44,83.35,41925300
09/04/2021,82.8,83.59,82.16,82.76,32759900
12/04/2021,82.06,82.18,78.03,78.58,62098800
13/04/2021,79.67,80.72,78.98,80.19,37767300
14/04/2021,79.88,80.13,77.94,78.55,34263800
15/04/2021,80.32,83.95,79.97,83.01,68942800
16/04/2021,83.3,83.59,81.53,82.15,47280600
19/04/2021,82.13,83.18,80.39,81.11,39115500
20/04/2021,80.82,81.11,78.51,79.27,34977800
21/04/2021,78.99,81.66,78.86,81.61,35069000
22/04/2021,81.61,81.79,78.59,79.06,38846100
23/04/2021,80.21,83.3,79.96,82.76,49194000
26/04/2021,83.35,85.9,82.7,85.41,57594500
27/04/2021,85.67,87.15,85.13,85.21,61909900
28/04/2021,88.85,89.2,83.92,84.02,108920300
29/04/2021,84.7,85.27,82.63,83.91,51294500
30/04/2021,82.97,84.1,81.42,81.62,46601900
03/05/2021,81.97,82,78.46,78.55,66323300
04/05/2021,77.95,78.67,77.04,78.61,59194300
05/05/2021,79.05,79.3,77.36,77.83,42310200
06/05/2021,77.63,78.06,76.47,77.89,38661300
07/05/2021,78.75,79.57,78.22,78.81,36954200
10/05/2021,78.2,78.3,75.92,75.99,45134500
